time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,0.0,-50.85,-1.95,-41.82,1.3,-4.07,-28.73,-13.49,-3.25,55139.95,50669.5,9626.26,9762.62,24544.02,21420.68,7650.61,6928.42
1.0,0.0,0.0,-38.265,30.37,-27.915,5.050000000000001,-0.4849999999999999,-27.92,-7.155,3.1800000000000006,10579.65,11917.985,4320.5650000000005,4424.58,7357.205,6783.799999999999,3155.77,2864.195
2.0,0.0,0.0,46.27,257.27,-15.76,39.05,24.96,23.33,8.31,17.94,2984.76,3880.04,2516.3,2586.04,3578.8,3457.75,1754.13,1582.84
3.0,0.0,0.0,304.06,733.38,32.17,46.11,145.48,233.52,43.65,57.46,1531.53,2028.66,1687.94,1733.92,2235.14,2237.82,1143.56,1031.91
4.0,0.0,0.0,609.38,1362.42,58.61,121.74,369.97,612.68,89.5,122.74,1049.37,1414.35,1291.0,1330.15,1652.25,1705.09,839.04,754.42
5.0,0.0,0.0,918.59,1867.88,136.94,185.85,635.46,1047.58,174.21,204.62,854.93,1141.74,1076.66,1096.26,1384.1,1444.32,687.08,609.02
6.0,0.0,0.0,1154.89,2205.49,205.81,276.14,879.92,1441.77,254.36,292.49,755.55,988.3,950.31,967.9,1235.67,1287.27,604.62,544.56
7.0,0.0,0.0,1371.88,2439.26,274.42,345.7,1089.45,1742.22,310.8,373.3,692.1,911.8,909.09,916.46,1180.06,1204.73,562.15,507.77
8.0,0.0,0.0,1526.77,2544.66,337.69,423.98,1265.33,1968.68,374.0,469.46,684.47,851.67,896.13,873.18,1143.76,1182.09,577.6,513.17
9.0,0.0,0.0,1624.365,2606.05,403.9500000000001,501.125,1403.015,2144.93,462.145,567.15,660.19,818.7149999999999,891.78,892.845,1142.86,1177.4250000000002,593.56,538.415
10.0,0.0,0.0,1702.525,1880.175,482.945,575.875,1509.175,2279.285,555.61,686.3299999999999,648.645,805.775,923.545,933.065,1159.245,1172.13,659.355,609.655
11.0,0.0,0.0,1748.965,780.46,541.035,648.005,1610.3049999999998,2400.85,678.35,833.98,640.08,788.41,976.915,994.305,1189.525,1191.1550000000002,756.3050000000001,701.875
12.0,0.0,0.0,1778.575,297.58500000000004,628.9300000000001,748.49,1702.41,2495.805,824.24,1002.57,621.04,787.94,1064.69,1098.07,1219.565,1207.485,887.345,841.5250000000001
13.0,0.0,0.0,1797.345,120.245,727.1,863.2800000000001,1810.63,2572.395,995.775,1209.74,632.06,780.0799999999999,1162.3,1200.745,1250.38,1234.135,1067.08,1019.74
